p      nu1                 nu0.5                  nu0.1         nu0.01       nu0.001
  3    0.0003576           0.000419121264713      0.000484      0.0005011    0.0005028
  4    0.0007381           0.000847284216434      0.0009724     0.001007     0.001011
  5    0.0007635           0.000859574065544      0.0009927     0.001029     0.001032
  6    0.0007792           0.000877529557329      0.001004      0.001038     0.001042
  7    0.0007847           0.000883671105839      0.001002      0.001034     0.001037
  8    0.0007888           0.000887378526386      0.0009969     0.001027     0.00103
  9    0.0007984           0.000888742972165      0.0009895     0.001017     0.00102
 10    0.0008058           0.000887800357305      0.0009794     0.001004     0.001007
 11    0.0008114           0.000884791836143      0.0009671     0.0009897    0.0009921
 12    0.000815            0.000879737024661      0.0009527     0.0009727    0.0009748
 13    0.0008167           0.000872684060596      0.0009361     0.0009536    0.0009554
 14    0.0008166           0.000863675726578      0.0009175     0.0009324    0.0009339
 15    0.0008145           0.00085275596939       0.0008968     0.0009091    0.0009104
 16    0.0008107           0.000840020074975      0.0008746     0.0008842    0.0008852
 17    0.000805            0.000825622759294      0.0008505     0.0008575    0.0008583
 18    0.0007976           0.000809451565146      0.0008246     0.000829     0.0008295
 19    0.0007884           0.000791560159996      0.000797      0.0007988    0.000799
 20    0.0007776           0.000772004423197      0.0007678     0.000767     0.0007669
 21    0.0007652           0.000750841922127      0.000737      0.0007336    0.0007333
 22    0.0007511           0.000728132086806      0.0007048     0.0006988    0.0006982
 23    0.0007355           0.000703936035279      0.0006711     0.0006626    0.0006617
 24    0.0007183           0.000678316922858      0.0006362     0.0006251    0.000624
 25    0.0006996           0.00065133778844       0.0006        0.0005864    0.000585
 26    0.0006795           0.00062306295149       0.0005626     0.0005467    0.000545
 27    0.000658            0.000593558186665      0.0005243     0.0005059    0.000504
 28    0.0006351           0.000562890025321      0.0004849     0.0004642    0.000462
 29    0.000611            0.000531140598468      0.0004447     0.0004216    0.0004192
 30    0.0005857           0.000498390756547      0.0004036     0.0003782    0.0003756
 31    0.0005592           0.000464678945718      0.0003617     0.0003342    0.0003313
 32    0.0005315           0.00043007437489       0.0003192     0.0002895    0.0002864
 33    0.0005029           0.000394646660425      0.0002761     0.0002443    0.000241
 34    0.0004732           0.000358465767931      0.0002325     0.0001986    0.0001951
 35    0.0004426           0.000321603787597      0.0001885     0.0001526    0.0001489
 36    0.0004112           0.000284130888758      0.0001441     0.0001872    0.0001929
 37    0.000379            0.000246117124334      0.0001756     0.0002318    0.0002377
 38    0.000346            0.000207634016988      0.0002189     0.0002772    0.0002834
 39    0.0003123           0.000168753438629      0.0002623     0.0003223    0.0003286
 40    0.0002781           0.000129547319375      0.0003061     0.0003671    0.0003735
 41    0.0002434           0.000125934879179      0.0003496     0.0004113    0.0004177
 42    0.0002082           0.000165540535818      0.0003924     0.0004547    0.0004611
 43    0.0001726           0.000205097705475      0.0004345     0.0004972    0.0005037
 44    0.0001366           0.000244476745138      0.0004758     0.0005389    0.0005454
 45    0.0001004           0.000283530942397      0.0005163     0.0005795    0.000586
 46    0.0001125           0.000322174921166      0.0005558     0.000619     0.0006255
 47    0.0001507           0.000360323349014      0.0005943     0.0006573    0.0006638
 48    0.0001889           0.000397891213652      0.0006316     0.0006944    0.0007009
 49    0.000227            0.000434903573478      0.0006678     0.0007301    0.0007365
 50    0.0002648           0.000471616862342      0.0007026     0.0007643    0.0007707
 51    0.0003024           0.000507531105541      0.0007361     0.000797     0.0008034
 52    0.0003394           0.000542523281183      0.0007681     0.0008282    0.0008344
 53    0.000376            0.00057650799863       0.0007985     0.0008576    0.0008637
 54    0.000412            0.000609399110544      0.0008273     0.0008853    0.0008913
 55    0.0004472           0.000641108956188      0.0008545     0.0009111    0.000917
 56    0.0004816           0.000671551621053      0.0008798     0.0009351    0.0009408
 57    0.0005152           0.000700641656294      0.0009034     0.0009571    0.0009627
 58    0.0005477           0.000728294893634      0.0009251     0.0009771    0.0009825
 59    0.0005791           0.0007544279797        0.0009447     0.0009949    0.001
 60    0.0006093           0.000778958958108      0.0009624     0.001011     0.001016
 61    0.0006382           0.000801807793323      0.0009781     0.001024     0.001029
 62    0.0006657           0.000822900678031      0.0009915     0.001035     0.00104
 63    0.0006918           0.000842202163767      0.001003      0.001044     0.001049
 64    0.0007162           0.000859598279931      0.001012      0.001051     0.001055
 65    0.000739            0.000875019351952      0.001018      0.001055     0.001059
 66    0.00076             0.000888399430551      0.001022      0.001056     0.00106
 67    0.0007792           0.000899677514099      0.001024      0.001055     0.001059
 68    0.0007965           0.000908796035219      0.001023      0.001052     0.001055
 69    0.0008118           0.000915701850317      0.001019      0.001045     0.001048
 70    0.0008251           0.000920347461943      0.001013      0.001037     0.001039
 71    0.0008362           0.000922691193409      0.001005      0.001028     0.001032
 72    0.0008461           0.000922697770875      0.0009937     0.00103      0.001033
 73    0.0008541           0.000920337974094      0.0009939     0.001029     0.001032
 74    0.0008599           0.00091558980057       0.0009926     0.001025     0.001028
 75    0.0008635           0.000908438232727      0.0009888     0.001019     0.001022
 76    0.0008648           0.000898876285646      0.0009826     0.00101      0.001013
 77    0.0008639           0.000886904832441      0.0009739     0.000999     0.001002
 78    0.0008607           0.000881054031197      0.000963      0.0009855    0.0009878
 79    0.0008552           0.000877235666849      0.0009495     0.0009693    0.0009714
 80    0.0008473           0.000871325377375      0.0009336     0.0009506    0.0009524
 81    0.0008372           0.00086314312648       0.0009151     0.0009294    0.0009309
 82    0.0008247           0.000852683035191      0.0008942     0.0009056    0.0009068
 83    0.0008128           0.00083995051682       0.0008708     0.0008793    0.0008802
 84    0.0008074           0.000824940914754      0.000845      0.0008505    0.0008511
 85    0.0008              0.000807667034678      0.0008168     0.0008194    0.0008197
 86    0.0007903           0.000788150005974      0.0007863     0.0007859    0.0007858
 87    0.0007785           0.000766418525018      0.0007535     0.0007501    0.0007497
 88    0.0007646           0.000742509844713      0.0007185     0.0007121    0.0007114
 89    0.0007485           0.000716469599865      0.0006813     0.0006719    0.000671
 90    0.0007304           0.000688352622092      0.0006422     0.0006298    0.0006285
 91    0.0007101           0.000658222008497      0.0006011     0.0005858    0.0005842
 92    0.0006878           0.000626149587333      0.0005582     0.0005399    0.000538
 93    0.0006636           0.000592216209043      0.0005136     0.0004924    0.0004902
 94    0.0006374           0.000556512561161      0.0004674     0.0004434    0.0004409
 95    0.0006094           0.000519133347552      0.0004198     0.000393     0.0003902
 96    0.0005795           0.000480183400214      0.0003708     0.0003414    0.0003383
 97    0.000548            0.000439774506958      0.0003208     0.0002887    0.0002854
 98    0.0005148           0.000398025673348      0.0002697     0.0002351    0.0002315
 99    0.0004802           0.000355098512955      0.0002177     0.0001807    0.0001769
100    0.0004441           0.000311105803121      0.0001651     0.0002216    0.0002278
101    0.0004066           0.000266159244347      0.0002124     0.0002728    0.0002791
102    0.000368            0.000220398447709      0.0002623     0.0003264    0.0003331
103    0.0003283           0.00017396689509       0.0003142     0.0003793    0.0003861
104    0.0002877           0.000127011095174      0.0003652     0.0004313    0.0004381
105    0.0002463           0.00016911138664       0.0004151     0.0004818    0.0004887
106    0.0002041           0.000215410880628      0.0004637     0.0005309    0.0005379
107    0.0001614           0.000260993867414      0.0005108     0.0005783    0.0005854
108    0.0001182           0.000305612687953      0.0005563     0.000624     0.000631
109    0.000121            0.000349166890373      0.0006001     0.0006677    0.0006748
110    0.0001631           0.0003915122943        0.000642      0.0007095    0.0007165
111    0.0002046           0.000432536762673      0.000682      0.000749     0.000756
112    0.0002452           0.000472135201562      0.0007199     0.0007864    0.0007933
113    0.0002849           0.000510209705681      0.0007556     0.0008214    0.0008283
114    0.0003236           0.000546670577023      0.0007892     0.0008542    0.0008609
115    0.0003611           0.000581480795518      0.0008206     0.0008845    0.0008911
116    0.0003974           0.000614544376731      0.0008495     0.0009123    0.0009188
117    0.0004324           0.000645776628517      0.0008761     0.0009375    0.0009439
118    0.000466            0.000675118702929      0.0009003     0.0009602    0.0009664
119    0.0004982           0.000702519551851      0.0009219     0.0009802    0.0009863
120    0.0005288           0.00072793540312       0.0009411     0.0009976    0.001003
121    0.000558            0.000751329876948      0.0009577     0.001012     0.001018
122    0.0005855           0.000772673694883      0.0009718     0.001024     0.00103
123    0.0006113           0.000791948870756      0.0009834     0.001034     0.001039
124    0.0006355           0.000809136836324      0.0009925     0.001041     0.001046
125    0.0006579           0.000824225717224      0.0009991     0.001045     0.00105
126    0.0006786           0.000837211555336      0.001003      0.001047     0.001051
127    0.0006976           0.000848095514812      0.001005      0.001046     0.00105
128    0.0007149           0.000856884173118      0.001004      0.001042     0.001046
129    0.0007303           0.000863644294441      0.001001      0.001036     0.00104
130    0.0003946           0.000453585438663      0.0005113     0.0005346    0.0005372
131    3.004e-05           2.7630423574e-05       2.952e-05     3.346e-05    3.389e-05
132    1.073e-05           1.21954917631e-05      1.427e-05     1.495e-05    1.502e-05
133    1.365e-06           1.55092220666e-06      1.976e-06     2.143e-06    2.162e-06
134    5.324e-07           7.38075073059e-07      1.077e-06     1.198e-06    1.211e-06
135    2.076e-07           2.91000787911e-07      4.409e-07     4.943e-07    5.001e-07
136    3.209e-08           4.57999327352e-08      8.088e-08     9.269e-08    9.398e-08
137    1.841e-08           2.85304935232e-08      4.535e-08     5.12e-08     5.184e-08
138    4.618e-09           8.02485544682e-09      1.452e-08     1.695e-08    1.722e-08
139    1.358e-09           2.53870102718e-09      4.771e-09     5.596e-09    5.688e-09
140    5.39e-10            9.65674873399e-10      1.752e-09     2.045e-09    2.077e-09
141    1.177e-10           2.27674157305e-10      4.593e-10     5.522e-10    5.627e-10
142    5.473e-11           1.15327553063e-10      2.434e-10     2.941e-10    2.999e-10
143    1.457e-11           3.20400789233e-11      7.076e-11     8.651e-11    8.831e-11
144    4.326e-12           1.11098109878e-11      2.734e-11     3.415e-11    3.493e-11
145    2.036e-12           4.77614735955e-12      1.128e-11     1.404e-11    1.436e-11
146    4.891e-13           1.20253123865e-12      3.026e-12     3.833e-12    3.927e-12
147    2.201e-13           6.27210739942e-13      1.753e-12     2.261e-12    2.321e-12
148    6.153e-14           1.84986466249e-13      5.412e-13     7.06e-13     7.254e-13
149    1.913e-14           7.10181154336e-14      2.321e-13     3.074e-13    3.162e-13
150    9.709e-15           2.96852115372e-14      8.512e-14     1.086e-13    1.112e-13
151    2.48e-15            7.7984146579e-15       2.364e-14     3.317e-14    3.433e-14
152    1.147e-15           4.44754638933e-15      1.501e-14     1.939e-14    1.986e-14
153    3.27e-16            1.33335437282e-15      4.346e-15     5.377e-15    5.487e-15
154    1.11e-16            5.74616669385e-16      2.035e-15     2.683e-15    2.778e-15
155    5.644e-17           2.16915476322e-16      6.214e-16     8.821e-16    9.217e-16
156    1.499e-17           5.78894476936e-17      2.276e-16     3.961e-16    4.317e-16
157    7.373e-18           3.71387220552e-17      9.741e-17     2.125e-16    2.293e-16
158    2.164e-18           1.17506779734e-17      3.454e-17     1.401e-16    1.694e-16
159    8.727e-19           6.0505073027e-18       2.881e-17     1.133e-16    1.242e-16
160    4.027e-19           2.37846562076e-18      2.238e-17     8.549e-17    1.035e-16
161    1.616e-19           1.28519816914e-18      1.826e-17     7.115e-17    7.88e-17
162    9.207e-20           8.52087382689e-19      1.586e-17     5.521e-17    7.062e-17
163    7.099e-20           6.43470571046e-19      1.249e-17     4.601e-17    5.303e-17
164    4.892e-20           6.95572403084e-19      1.225e-17     3.999e-17    5.641e-17
165    4.608e-20           5.37860596531e-19      1.157e-17     3.896e-17    4.41e-17
166    3.474e-20           5.82497743926e-19      1.006e-17     3.049e-17    4.986e-17
167    2.838e-20           4.80045738195e-19      1.111e-17     3.409e-17    4.191e-17
168    2.475e-20           4.5577382918e-19       9.511e-18     2.41e-17     4.625e-17
169    1.713e-20           4.11059366247e-19      1.059e-17     3.042e-17    4.164e-17
170    1.678e-20           3.36413217752e-19      9.345e-18     2.086e-17    4.34e-17
171    1.017e-20           3.47723723557e-19      1.001e-17     2.741e-17    4.131e-17
172    1.089e-20           2.4585431147e-19       9.064e-18     1.868e-17    4.19e-17
173    5.967e-21           2.85573301437e-19      9.511e-18     2.559e-17    4.068e-17
174    6.847e-21           1.87217700894e-19      8.618e-18     1.856e-17    4.076e-17
175    3.517e-21           2.33626979354e-19      9.045e-18     2.44e-17     3.93e-17
176    4.221e-21           1.41841054031e-19      8.013e-18     1.951e-17    4e-17
177    2.07e-21            1.8733821077e-19       8.373e-18     2.313e-17    3.713e-17
178    2.552e-21           1.11233885027e-19      7.344e-18     2.131e-17    3.982e-17
179    1.235e-21           1.46508924701e-19      7.512e-18     2.185e-17    3.435e-17
180    1.509e-21           8.67694432616e-20      6.703e-18     2.265e-17    3.943e-17
181    7.895e-22           1.11851905267e-19      6.594e-18     2.082e-17    3.135e-17
182    8.669e-22           6.5751255648e-20       6.109e-18     2.33e-17     3.865e-17
183    5.583e-22           8.44253555773e-20      5.847e-18     2.039e-17    2.875e-17
184    4.789e-22           4.95787114499e-20      5.507e-18     2.34e-17     3.739e-17
185    4.073e-22           6.25702938284e-20      5.478e-18     2.015e-17    2.665e-17
186    2.487e-22           3.78170206265e-20      4.893e-18     2.313e-17    3.53e-17
