p        nu5e-1         nu1e-1          nu1e-2      nu1e-3
  3      8.318e-05      0.0001011       0.0001058   0.0001063
  4      0.0001667      0.0002027       0.0002121   0.0002131
  5      0.0001728      0.0002119       0.0002223   0.0002234
  6      0.000178       0.00022         0.0002312   0.0002324
  7      0.0001786      0.000221        0.0002324   0.0002336
  8      0.0001786      0.0002214       0.0002329   0.0002341
  9      0.000178       0.000221        0.0002325   0.0002337
 10      0.000177       0.0002199       0.0002315   0.0002327
 11      0.0001755      0.0002186       0.0002302   0.0002314
 12      0.0001738      0.0002167       0.0002284   0.0002296
 13      0.0001716      0.0002144       0.000226    0.0002272
 14      0.0001691      0.0002115       0.000223    0.0002242
 15      0.0001661      0.0002082       0.0002196   0.0002208
 16      0.0001628      0.0002043       0.0002156   0.0002168
 17      0.0001591      0.0002          0.0002111   0.0002123
 18      0.000155       0.0001952       0.0002061   0.0002073
 19      0.0001505      0.0001899       0.0002007   0.0002018
 20      0.0001457      0.0001842       0.0001947   0.0001958
 21      0.0001406      0.0001781       0.0001884   0.0001894
 22      0.0001351      0.0001716       0.0001816   0.0001826
 23      0.0001293      0.0001647       0.0001744   0.0001754
 24      0.0001233      0.0001574       0.0001668   0.0001677
 25      0.0001169      0.0001497       0.0001588   0.0001597
 26      0.0001103      0.0001418       0.0001504   0.0001513
 27      0.0001034      0.0001334       0.0001417   0.0001426
 28      9.635e-05      0.0001248       0.0001327   0.0001336
 29      8.903e-05      0.0001159       0.0001234   0.0001242
 30      8.151e-05      0.0001068       0.0001138   0.0001146
 31      7.38e-05       9.737e-05       0.000104    0.0001047
 32      6.592e-05      8.774e-05       9.388e-05   9.452e-05
 33      5.79e-05       7.792e-05       8.357e-05   8.417e-05
 34      4.974e-05      6.791e-05       7.308e-05   7.362e-05
 35      4.147e-05      5.776e-05       6.242e-05   6.291e-05
 36      4.916e-05      6.698e-05       7.204e-05   7.257e-05
 37      5.674e-05      7.606e-05       8.15e-05    8.207e-05
 38      6.493e-05      8.609e-05       9.202e-05   9.264e-05
 39      7.297e-05      9.593e-05       0.0001023   0.000103
 40      8.089e-05      0.0001056       0.0001125   0.0001132
 41      8.863e-05      0.0001151       0.0001225   0.0001232
 42      9.618e-05      0.0001243       0.0001321   0.0001329
 43      0.0001035      0.0001333       0.0001415   0.0001423
 44      0.0001106      0.0001419       0.0001505   0.0001514
 45      0.0001174      0.0001502       0.0001592   0.0001602
 46      0.000124       0.0001582       0.0001676   0.0001685
 47      0.0001303      0.0001658       0.0001755   0.0001765
 48      0.0001363      0.000173        0.0001831   0.0001841
 49      0.0001419      0.0001798       0.0001902   0.0001913
 50      0.0001473      0.0001862       0.0001969   0.000198
 51      0.0001523      0.0001922       0.0002031   0.0002042
 52      0.0001569      0.0001977       0.0002089   0.00021
 53      0.0001612      0.0002028       0.0002141   0.0002153
 54      0.0001651      0.0002074       0.0002189   0.0002201
 55      0.0001686      0.0002115       0.0002231   0.0002244
 56      0.0001717      0.0002151       0.0002269   0.0002281
 57      0.0001744      0.0002182       0.0002301   0.0002313
 58      0.0001767      0.0002208       0.0002327   0.000234
 59      0.0001786      0.0002229       0.0002348   0.0002361
 60      0.0001801      0.0002244       0.0002364   0.0002376
 61      0.0001812      0.0002255       0.0002374   0.0002387
 62      0.0001818      0.000226        0.0002379   0.0002391
 63      0.0001819      0.0002259       0.0002377   0.000239
 64      0.0001817      0.0002253       0.000237    0.0002383
 65      0.000181       0.0002242       0.0002358   0.000237
 66      0.00018        0.0002225       0.0002339   0.0002351
 67      0.0001786      0.0002205       0.0002318   0.000233
 68      0.0001768      0.0002181       0.0002291   0.0002303
 69      0.0001757      0.0002167       0.0002277   0.0002288
 70      0.0001769      0.0002185       0.0002297   0.0002308
 71      0.0001777      0.0002198       0.0002311   0.0002323
 72      0.000178       0.0002206       0.000232    0.0002332
 73      0.000178       0.0002208       0.0002324   0.0002336
 74      0.0001775      0.0002206       0.0002322   0.0002334
 75      0.0001765      0.0002197       0.0002314   0.0002326
 76      0.0001752      0.0002184       0.0002301   0.0002313
 77      0.0001734      0.0002165       0.0002282   0.0002294
 78      0.0001712      0.0002141       0.0002257   0.0002269
 79      0.0001685      0.0002112       0.0002227   0.0002239
 80      0.0001655      0.0002077       0.0002192   0.0002204
 81      0.000162       0.0002037       0.0002151   0.0002163
 82      0.0001582      0.0001993       0.0002105   0.0002116
 83      0.0001539      0.0001943       0.0002053   0.0002065
 84      0.0001493      0.0001889       0.0001997   0.0002008
 85      0.0001443      0.0001829       0.0001935   0.0001946
 86      0.0001389      0.0001766       0.0001869   0.0001879
 87      0.0001332      0.0001697       0.0001798   0.0001808
 88      0.0001272      0.0001625       0.0001722   0.0001732
 89      0.0001208      0.0001548       0.0001642   0.0001652
 90      0.0001141      0.0001468       0.0001558   0.0001567
 91      0.0001071      0.0001383       0.000147    0.0001479
 92      9.989e-05      0.0001295       0.0001378   0.0001386
 93      9.24e-05       0.0001204       0.0001282   0.000129
 94      8.467e-05      0.000111        0.0001184   0.0001191
 95      7.672e-05      0.0001013       0.0001082   0.0001089
 96      6.858e-05      9.135e-05       9.775e-05   9.842e-05
 97      6.026e-05      8.115e-05       8.706e-05   8.768e-05
 98      5.179e-05      7.075e-05       7.614e-05   7.671e-05
 99      4.318e-05      6.017e-05       6.503e-05   6.554e-05
100      5.107e-05      6.96e-05        7.486e-05   7.541e-05
101      5.882e-05      7.886e-05       8.45e-05    8.509e-05
102      6.737e-05      8.936e-05       9.553e-05   9.617e-05
103      7.574e-05      9.964e-05       0.0001063   0.000107
104      8.393e-05      0.0001097       0.0001168   0.0001176
105      9.19e-05       0.0001194       0.0001271   0.0001279
106      9.965e-05      0.0001289       0.000137    0.0001379
107      0.0001071      0.0001381       0.0001466   0.0001475
108      0.0001144      0.0001468       0.0001558   0.0001567
109      0.0001213      0.0001553       0.0001646   0.0001656
110      0.0001279      0.0001633       0.000173    0.000174
111      0.0001342      0.0001709       0.000181    0.000182
112      0.0001402      0.0001781       0.0001885   0.0001895
113      0.0001458      0.0001848       0.0001955   0.0001966
114      0.000151       0.0001911       0.000202    0.0002032
115      0.0001559      0.0001969       0.000208    0.0002092
116      0.0001603      0.0002022       0.0002136   0.0002147
117      0.0001644      0.0002069       0.0002185   0.0002197
118      0.0001681      0.0002112       0.000223    0.0002242
119      0.0001713      0.000215        0.0002268   0.0002281
120      0.0001742      0.0002182       0.0002302   0.0002314
121      0.0001766      0.0002209       0.0002329   0.0002342
122      0.0001785      0.000223        0.0002351   0.0002364
123      0.0001801      0.0002246       0.0002367   0.000238
124      0.0001812      0.0002257       0.0002377   0.000239
125      0.0001818      0.0002262       0.0002382   0.0002394
126      0.000182       0.0002262       0.0002381   0.0002393
127      0.0001818      0.0002256       0.0002374   0.0002386
128      0.0001811      0.0002245       0.0002361   0.0002373
129      0.00018        0.0002228       0.0002343   0.0002355
130      9.533e-05      0.0001195       0.0001261   0.0001268
131      9.872e-06      1.53e-05        1.694e-05   1.712e-05
132      5.229e-06      8.162e-06       9.058e-06   9.154e-06
133      6.418e-07      1.102e-06       1.255e-06   1.272e-06
134      2.491e-07      4.786e-07       5.573e-07   5.659e-07
135      5.796e-08      1.144e-07       1.344e-07   1.366e-07
136      1.389e-08      3.33e-08        4.077e-08   4.16e-08
137      6.215e-09      1.455e-08       1.775e-08   1.81e-08
138      1.156e-09      3.096e-09       3.904e-09   3.997e-09
139      5.714e-10      1.66e-09        2.129e-09   2.183e-09
140      1.268e-10      3.937e-10       5.155e-10   5.297e-10
141      4.685e-11      1.698e-10       2.292e-10   2.362e-10
142      1.37e-11       5.138e-11       7.001e-11   7.222e-11
143      4.037e-12      1.825e-11       2.583e-11   2.675e-11
144      1.854e-12      7.746e-12       1.08e-11    1.117e-11
145      4.309e-13      2.027e-12       2.914e-12   3.023e-12
146      2.34e-13       1.229e-12       1.807e-12   1.878e-12
147      6.14e-14       3.494e-13       5.269e-13   5.492e-13
148      2.614e-14      1.744e-13       2.707e-13   2.829e-13
149      8.166e-15      5.648e-14       8.869e-14   9.281e-14
150      2.962e-15      2.394e-14       3.872e-14   4.064e-14
