t          l2           inf  
 7.7000      1.5015      1.5119
 7.8000      1.4827      1.5048
 7.9000      1.4612      1.4956
 8.0000      1.4392      1.4824
 8.1000      1.4184      1.4628
 8.2000      1.4005      1.4333
 8.3000      1.3869      1.3025
 8.4000      1.3784      1.0340
 8.5000      1.3756      0.9410
 8.6000      1.3787      0.8741
 8.7000      1.3877      0.8890
 8.8000      1.4022      0.9044
 8.9000      1.4214      0.9208
 9.0000      1.4445      0.9386
 9.1000      1.4705      0.9592
 9.2000      1.4983      0.9830
 9.3000      1.5266      1.0111
 9.4000      1.5544      1.0449
 9.5000      1.5804      1.1612
 9.6000      1.6036      1.4631
 9.7000      1.6227      1.8088
 9.8000      1.6371      1.9172
 9.9000      1.6460      1.8000
10.0000      1.6494      1.7026
10.1000      1.6474      1.6215
10.2000      1.6407      1.5528
10.3000      1.6303      1.5295
10.4000      1.6175      1.5146
10.5000      1.6038      1.4926
10.6000      1.5905      1.4628
10.7000      1.5789      1.4258
10.8000      1.5700      1.3851
10.9000      1.5648      1.2108
11.0000      1.5638      1.1717
11.1000      1.5673      1.0692
11.2000      1.5752      0.9186
11.3000      1.5872      0.8836
11.4000      1.6028      0.8937
11.5000      1.6216      0.9531
11.6000      1.6428      0.9599
11.7000      1.6657      0.9707
11.8000      1.6891      1.2004
11.9000      1.7121      1.4070
12.0000      1.7340      1.5766
12.1000      1.7541      1.7646
12.2000      1.7720      1.8326
12.3000      1.7870      1.9403
12.4000      1.7985      1.7920
12.5000      1.8057      1.6223
12.6000      1.8085      1.5803
12.7000      1.8071      1.5459
12.8000      1.8024      1.5000
12.9000      1.7953      1.4420
13.0000      1.7868      1.3780
13.1000      1.7776      1.3764
13.2000      1.7686      1.4014
13.3000      1.7608      1.4282
13.4000      1.7554      1.6713
13.5000      1.7529      1.5765
13.6000      1.7537      1.3913
13.7000      1.7571      1.2781
13.8000      1.7630      1.1455
13.9000      1.7714      1.2462
14.0000      1.7833      1.2788
14.1000      1.7992      1.2552
14.2000      1.8189      1.2233
14.3000      1.8405      1.3001
14.4000      1.8615      1.6692
14.5000      1.8803      2.0763
14.6000      1.8966      2.4133
14.7000      1.9113      2.5923
14.8000      1.9257      2.6619
14.9000      1.9402      2.3940
15.0000      1.9538      1.9942
15.1000      1.9645      2.0013
15.2000      1.9706      1.9709
15.3000      1.9714      1.8735
15.4000      1.9671      1.7036
15.5000      1.9587      1.4861
15.6000      1.9481      1.4788
15.7000      1.9374      1.6645
15.8000      1.9288      1.8521
15.9000      1.9240      1.9544
16.0000      1.9232      2.1856
16.1000      1.9246      1.9083
16.2000      1.9259      1.7066
16.3000      1.9252      1.4780
16.4000      1.9231      1.4021
16.5000      1.9231      1.3489
16.6000      1.9292      1.2649
16.7000      1.9442      1.3105
16.8000      1.9669      1.3438
16.9000      1.9928      1.4738
17.0000      2.0158      2.2546
17.1000      2.0318      2.8899
17.2000      2.0405      3.2704
17.3000      2.0450      2.9923
17.4000      2.0500      2.5638
17.5000      2.0590      2.1203
17.6000      2.0726      1.9911
17.7000      2.0883      1.9527
17.8000      2.1017      1.9658
17.9000      2.1088      1.9766
18.0000      2.1075      2.0562
18.1000      2.0985      2.0744
18.2000      2.0852      1.9856
18.3000      2.0722      2.0207
18.4000      2.0635      2.3623
18.5000      2.0607      2.5015
18.6000      2.0620      2.4885
18.7000      2.0634      2.5374
18.8000      2.0611      2.2937
18.9000      2.0538      2.0001
19.0000      2.0445      1.5702
19.1000      2.0390      1.4040
19.2000      2.0437      1.5602
19.3000      2.0617      1.6465
19.4000      2.0907      1.6476
19.5000      2.1241      1.9038
19.6000      2.1540      2.9918
19.7000      2.1741      3.4475
19.8000      2.1821      3.2617
19.9000      2.1801      2.9793
20.0000      2.1734      2.6058
20.1000      2.1678      2.2785
20.2000      2.1673      2.1965
20.3000      2.1724      2.0876
20.4000      2.1806      1.9413
20.5000      2.1880      1.8784
20.6000      2.1924      2.2891
20.7000      2.1937      2.4232
20.8000      2.1939      2.2915
20.9000      2.1957      2.3605
21.0000      2.2001      2.5441
21.1000      2.2059      2.6422
21.2000      2.2100      2.9599
21.3000      2.2085      3.2511
21.4000      2.1997      3.2663
21.5000      2.1855      2.4682
21.6000      2.1714      1.6980
21.7000      2.1647      1.7223
