t              l2          ana
1.0000         1.1305      18.6327
1.1000         1.1164      18.7627
1.2000         1.1152      18.8802
1.3000         1.1305      18.9846
1.4000         1.1681      19.0751
1.5000         1.2265      19.1510
1.6000         1.3025      19.2112
1.7000         1.3846      19.2548
1.8000         1.4612      19.2810
1.9000         1.5230      19.2893
2.0000         1.5597      19.2794
2.1000         1.5687      19.2517
2.2000         1.5514      19.2067
2.3000         1.5170      19.1458
2.4000         1.4754      19.0704
2.5000         1.4350      18.9827
2.6000         1.4065      18.8851
2.7000         1.3927      18.7815
2.8000         1.3928      18.6777
2.9000         1.4009      18.5831
3.0000         1.4031      18.5173
3.1000         1.3821      18.4812
3.2000         1.3246      18.4711
3.3000         1.2285      18.4779
3.4000         1.1095      18.4865
3.5000         0.9983      18.4888
3.6000         0.9385      18.5189
3.7000         0.9792      18.5469
3.8000         1.0510      18.5621
3.9000         1.2738      18.5659
4.0000         1.4545      18.5634
4.1000         1.5612      18.5641
4.2000         2.0124      18.5772
4.3000         2.0539      18.6030
4.4000         2.1134      18.6322
4.5000         2.6045      18.6553
4.6000         2.5942      18.6659
4.7000         2.4522      18.6708
4.8000         2.6404      18.6758
4.9000         2.7359      18.6646
5.0000         2.6325      18.6312
5.1000         2.5482      18.5873
5.2000         2.5650      18.5388
5.3000         2.6198      18.4871
5.4000         2.8205      18.4382
5.5000         3.1982      18.3984
5.6000         3.6838      18.3647
5.7000         4.9797      18.3284
5.8000         4.9051      18.3013
5.9000         5.9687      18.2956
6.0000         8.1196      18.3140
6.1000         5.4013      18.3442
6.2000         5.9701      18.3738
6.3000        12.2895      18.3949
6.4000         7.3903      18.4024
6.5000         2.9802      18.4139
6.6000         9.5110      18.4370
6.7000        18.3143      18.4528
6.8000         5.8830      18.4650
6.9000         3.6886      18.4811
7.0000         8.8508      18.5056
7.1000        14.5809      18.5319
7.2000         7.8262      18.5449
7.3000         6.5433      18.5349
7.4000         7.8123      18.5108
7.5000         9.4798      18.4887
7.6000        10.6287      18.4674
7.7000        10.6861      18.4292
7.8000        10.5240      18.3770
7.9000        11.2621      18.3233
8.0000        11.9804      18.2705
8.1000        12.0554      18.2371
8.2000        12.0242      18.2272
